Time;J_MUR_T1;TP_EF_T1
21.11.2015 0:0:0;80.79;74.06
21.11.2015 0:1:0;80.79;74.06
21.11.2015 0:2:0;80.79;73.88
21.11.2015 0:3:0;80.79;73.80
21.11.2015 0:4:0;80.79;73.80
21.11.2015 0:5:0;80.79;73.19
21.11.2015 0:6:0;80.70;73.67
21.11.2015 0:7:0;80.61;73.67
21.11.2015 0:8:0;80.53;73.58
21.11.2015 0:9:0;80.53;73.58
21.11.2015 0:10:0;80.40;73.36
21.11.2015 0:11:0;80.35;73.23
21.11.2015 0:12:0;80.35;73.32
21.11.2015 0:13:0;80.48;73.41
21.11.2015 0:14:0;80.40;73.67
21.11.2015 0:15:0;80.48;74.01
21.11.2015 0:16:0;80.48;74.10
21.11.2015 0:17:0;80.48;74.28
21.11.2015 0:18:0;80.48;74.19
21.11.2015 0:19:0;80.61;74.01
21.11.2015 0:20:0;80.61;74.01
21.11.2015 0:21:0;80.70;73.80
21.11.2015 0:22:0;80.70;73.67
21.11.2015 0:23:0;80.79;73.58
21.11.2015 0:24:0;80.83;73.45
21.11.2015 0:25:0;80.79;73.36
21.11.2015 0:26:0;80.79;73.36
21.11.2015 0:27:0;80.79;73.10
21.11.2015 0:28:0;80.83;72.93
21.11.2015 0:29:0;80.83;73.10
21.11.2015 0:30:0;80.79;73.41
21.11.2015 0:31:0;80.79;73.58
21.11.2015 0:32:0;80.79;73.75
21.11.2015 0:33:0;80.70;73.75
21.11.2015 0:34:0;80.61;73.58
21.11.2015 0:35:0;80.70;73.45
21.11.2015 0:36:0;80.57;73.23
21.11.2015 0:37:0;80.48;73.19
21.11.2015 0:38:0;80.40;72.97
21.11.2015 0:39:0;80.40;72.97
21.11.2015 0:40:0;80.48;72.97
21.11.2015 0:41:0;80.48;72.37
21.11.2015 0:42:0;80.48;72.71
21.11.2015 0:43:0;80.48;73.45
21.11.2015 0:44:0;80.40;73.80
21.11.2015 0:45:0;80.48;73.88
21.11.2015 0:46:0;80.48;74.19
21.11.2015 0:47:0;80.57;74.28
21.11.2015 0:48:0;80.57;74.10
21.11.2015 0:49:0;80.57;74.19
21.11.2015 0:50:0;80.70;74.41
21.11.2015 0:51:0;80.61;74.41
21.11.2015 0:52:0;80.61;74.41
21.11.2015 0:53:0;80.57;74.41
21.11.2015 0:54:0;80.61;74.28
21.11.2015 0:55:0;80.61;74.19
21.11.2015 0:56:0;80.61;74.19
21.11.2015 0:57:0;80.61;74.06
21.11.2015 0:58:0;80.57;74.06
21.11.2015 0:59:0;80.57;73.88
21.11.2015 1:0:0;80.57;73.88
21.11.2015 1:1:0;80.57;73.80
21.11.2015 1:2:0;80.57;73.67
21.11.2015 1:3:0;80.70;73.58
21.11.2015 1:4:0;80.70;73.58
21.11.2015 1:5:0;80.53;73.45
21.11.2015 1:6:0;80.53;73.36
21.11.2015 1:7:0;80.57;73.10
21.11.2015 1:8:0;80.57;72.93
21.11.2015 1:9:0;80.57;72.28
21.11.2015 1:10:0;80.57;72.93
21.11.2015 1:11:0;80.57;72.93
21.11.2015 1:12:0;80.57;72.93
21.11.2015 1:13:0;80.57;72.80
21.11.2015 1:14:0;80.57;72.71
21.11.2015 1:15:0;80.57;72.54
21.11.2015 1:16:0;80.57;72.54
21.11.2015 1:17:0;80.57;72.58
21.11.2015 1:18:0;80.57;73.32
21.11.2015 1:19:0;80.57;73.23
21.11.2015 1:20:0;80.57;73.80
21.11.2015 1:21:0;80.57;74.41
21.11.2015 1:22:0;80.57;74.49
21.11.2015 1:23:0;80.57;74.28
21.11.2015 1:24:0;80.57;74.62
21.11.2015 1:25:0;80.57;74.71
21.11.2015 1:26:0;80.57;74.62
21.11.2015 1:27:0;80.57;74.28
21.11.2015 1:28:0;80.48;74.10
21.11.2015 1:29:0;80.57;74.01
21.11.2015 1:30:0;80.57;74.01
21.11.2015 1:31:0;80.57;73.88
21.11.2015 1:32:0;80.57;73.88
21.11.2015 1:33:0;80.57;73.88
21.11.2015 1:34:0;80.57;73.32
21.11.2015 1:35:0;80.74;73.32
21.11.2015 1:36:0;80.70;73.67
21.11.2015 1:37:0;80.61;74.28
21.11.2015 1:38:0;80.70;74.41
21.11.2015 1:39:0;80.70;74.62
21.11.2015 1:40:0;80.61;74.97
21.11.2015 1:41:0;80.70;74.97
21.11.2015 1:42:0;80.57;74.88
21.11.2015 1:43:0;80.61;74.88
21.11.2015 1:44:0;80.70;74.88
21.11.2015 1:45:0;80.70;74.88
21.11.2015 1:46:0;80.79;74.71
21.11.2015 1:47:0;80.83;74.71
21.11.2015 1:48:0;80.83;74.62
21.11.2015 1:49:0;81.00;74.49
21.11.2015 1:50:0;81.00;74.41
21.11.2015 1:51:0;81.00;74.28
21.11.2015 1:52:0;81.00;74.28
21.11.2015 1:53:0;81.00;74.19
21.11.2015 1:54:0;80.79;74.10
21.11.2015 1:55:0;80.79;74.19
21.11.2015 1:56:0;80.70;74.84
21.11.2015 1:57:0;80.57;75.06
21.11.2015 1:58:0;80.57;75.06
21.11.2015 1:59:0;80.48;74.97
21.11.2015 2:0:0;80.57;74.88
21.11.2015 2:1:0;80.48;74.71
21.11.2015 2:2:0;80.53;74.84
21.11.2015 2:3:0;80.53;75.27
21.11.2015 2:4:0;80.61;75.36
21.11.2015 2:5:0;80.61;75.36
21.11.2015 2:6:0;80.70;75.27
21.11.2015 2:7:0;80.61;75.27
21.11.2015 2:8:0;80.61;75.10
21.11.2015 2:9:0;80.53;74.97
21.11.2015 2:10:0;80.48;74.97
21.11.2015 2:11:0;80.31;74.88
21.11.2015 2:12:0;80.18;74.88
21.11.2015 2:13:0;80.09;74.88
21.11.2015 2:14:0;79.96;74.62
21.11.2015 2:15:0;79.96;74.19
21.11.2015 2:16:0;79.96;73.88
21.11.2015 2:17:0;79.88;73.45
21.11.2015 2:18:0;79.92;73.80
21.11.2015 2:19:0;79.92;73.88
21.11.2015 2:20:0;79.96;73.80
21.11.2015 2:21:0;80.14;73.80
21.11.2015 2:22:0;80.27;73.36
21.11.2015 2:23:0;80.35;73.32
21.11.2015 2:24:0;80.40;73.32
21.11.2015 2:25:0;80.53;74.01
21.11.2015 2:26:0;80.61;74.01
21.11.2015 2:27:0;80.70;74.10
21.11.2015 2:28:0;80.74;74.49
21.11.2015 2:29:0;80.74;74.84
21.11.2015 2:30:0;80.74;74.71
21.11.2015 2:31:0;80.74;74.71
21.11.2015 2:32:0;80.70;74.62
21.11.2015 2:33:0;80.61;74.49
21.11.2015 2:34:0;80.53;74.41
21.11.2015 2:35:0;80.53;74.28
21.11.2015 2:36:0;80.53;74.19
21.11.2015 2:37:0;80.40;74.10
21.11.2015 2:38:0;80.27;73.88
21.11.2015 2:39:0;80.31;74.01
21.11.2015 2:40:0;80.31;74.62
21.11.2015 2:41:0;80.31;74.71
21.11.2015 2:42:0;80.31;74.84
21.11.2015 2:43:0;80.31;74.71
21.11.2015 2:44:0;80.40;74.84
21.11.2015 2:45:0;80.53;75.10
21.11.2015 2:46:0;80.53;75.10
21.11.2015 2:47:0;80.70;74.88
21.11.2015 2:48:0;80.79;74.88
21.11.2015 2:49:0;80.83;74.75
21.11.2015 2:50:0;80.92;74.62
21.11.2015 2:51:0;81.05;74.49
21.11.2015 2:52:0;81.05;74.41
21.11.2015 2:53:0;81.18;74.41
21.11.2015 2:54:0;81.13;74.41
21.11.2015 2:55:0;81.00;74.41
21.11.2015 2:56:0;80.79;74.19
21.11.2015 2:57:0;80.79;73.80
